Host   Node   Slot  Product  Version   Location
  461  10523   3       XCOM  104.03    BOSTON,MA
  462  11725  14       XCOM    0.00    SAN JOSE,CA
  463   3536   1       ACOM  103.01    SUNNYVALE,CA
  464  11725  13       XCOM    0.00    SAN JOSE,CA
  467  10167  FF       I2IS   11.33    NEW YORK,NY
  467  10167   0        TII  105.35    NEW YORK,NY
  468   5707   1       XCOM  104.03    NORRISTOWN,PA
  469   5200   1       XCOM  300.55    NEW YORK,NY
  469  12406   1       XCOM  300.55    NEW YORK,NY
  469  11042   1       XCOM  300.55    NEW YORK,NY
  469  10167   1       XCOM  300.55    NEW YORK,NY
  473  10154  FF       I2IS    0.00    WHITE PLAINS,NY
  474   3042   2       CMTI  107.04    NEWPORT BEACH,CA
  476   4210   1       SNAH    3.03    SAN FRANCISCO,CA
  477  10067  FF       I2IS    7.03    NEW YORK,NY
  477  10067   0        TII  105.34    NEW YORK,NY
  478  10070   0        TII  105.35    NEW YORK,NY
  478  10070  FF       I2IS   11.33    NEW YORK,NY
  479  11407   0        TII  105.22    NEW YORK,NY
  479  11407  FF       I2IS    7.04    NEW YORK,NY
  480  11410   0        TII  105.22    NEW YORK,NY
  480  11410  FF       I2IS    7.04    NEW YORK,NY
  481  11411  FF       I2IS    7.03    NEW YORK,NY
  481  11411   0        TII  105.35    NEW YORK,NY
  482  11412  FF       I2IS    7.04    NEW YORK,NY
  482  11412   0        TII  105.22    NEW YORK,NY
  483  11413   0        TII  105.22    NEW YORK,NY
  483  11413  FF       I2IS    7.04    NEW YORK,NY
  484  11414   0        TII  105.35    NEW YORK,NY
  484  11414  FF       I2IS    7.03    NEW YORK,NY
  485  11415  FF       I2IS    7.03    NEW YORK,NY
  485  11415   0        TII  105.22    NEW YORK,NY
  486  11416  FF       I2IS    7.03    NEW YORK,NY
  486  11416   0        TII  105.22    NEW YORK,NY
  489   4210   3       CMTI  107.04    SAN FRANCISCO,CA
  490  12674  FF       I2IS    7.04    VIENNA,
  490  12674   0        TII  105.22    VIENNA,
  491  11423   0        TII  105.22    NEW YORK,NY
  491  11423  FF       I2IS    7.04    NEW YORK,NY
Host   Node   Slot  Product  Version   Location
  496   2151  FF       I2IS    0.00    LODI,CA
